dataset,gnn,hops,avg_epoch_time_s_cpu,avg_epoch_time_s_cuda,avg_infer_time_s_cpu,avg_infer_time_s_cuda,test_acc_cpu,test_acc_cuda,test_auc_cpu,test_auc_cuda,test_macro_f1_cpu,test_macro_f1_cuda,train_speedup_cpu_over_gpu,infer_speedup_cpu_over_gpu
wikivote,sage,4,0.106534625049835,0.0079315727374932,0.0296294290000332,0.0018916787001217,0.9082397003745318,0.898876404494382,0.9434481359433404,0.9417697471965376,0.8583071149691066,0.8464634847613571,13.431715067837306,15.6630346359173
wikivote,gcn,4,0.0963051835001124,0.0076292533125752,0.025853996150181,0.001530439400085,0.5889513108614233,0.1722846441947565,0.8002809610466259,0.489674527837891,0.5486873630112922,0.1469648562300319,12.623146663825384,16.89318515241118
wikivote,sage,2,0.0557692527125709,0.0045014453499334,0.013187518849736,0.0008748793001359,0.8604868913857678,0.897003745318352,0.9418312266378124,0.922661936848318,0.8012675854059084,0.8387282760892842,12.389188000115569,15.073529397355165
wikivote,sage,3,0.0697345106876127,0.0057722248875961,0.0209833553999487,0.001271477750015,0.8829588014981273,0.8932584269662921,0.942956300413142,0.913919560299036,0.8271117298539838,0.8212001057361882,12.081045358690854,16.503124336781475
wikivote,sgc,4,0.0311565987624362,0.0026374474123713,0.0191276740003559,0.0005601339998065,0.1722846441947565,0.8764044943820225,0.753907018493016,0.751822865433799,0.1469648562300319,0.7522773279352226,11.813163976764809,34.14838950494634
wikivote,gcn,2,0.0504320588250493,0.0043031213123867,0.0118942323999363,0.0007640567996531,0.1769662921348314,0.6591760299625468,0.83193672535904,0.5596289100924651,0.1531784268746679,0.5615288831140707,11.719878470513644,15.567209669931039
wikivote,sgc,3,0.02984776076255,0.0025569792375108,0.0149874712000382,0.0004652036503102,0.2041198501872659,0.6732209737827716,0.5710425683651387,0.4551599695061971,0.1893832240366894,0.5331507178741456,11.673055582417074,32.217011173589206
wikivote,sgc,2,0.0258922923374484,0.0024107324000851,0.0155055030999392,0.0003615733501646,0.6189138576779026,0.399812734082397,0.7441871188274641,0.7686928241196145,0.5750863901854883,0.3934952420524424,10.740425746355916,42.8834234958981
wikivote,gcn,3,0.0613595049125706,0.0058355874374456,0.0178339729501203,0.0012824847495721,0.5552434456928839,0.3239700374531835,0.7664795642337202,0.4550861941766673,0.5241512247970397,0.3107336956521739,10.514709199427122,13.905797286143628
wikivote,sage,1,0.0178589475250873,0.0025283965374228,0.0063642425496254,0.0003751401001863,0.8445692883895131,0.8773408239700374,0.8304981064332086,0.9245616515837104,0.7309693044486394,0.819941699967182,7.06334914668526,16.964975342451595
stackoverflow_ml,sage,1,0.0243370872250579,0.0034802893875166,0.0019933623996621,0.0006949242999326,0.8707482993197279,0.7687074829931972,0.925055617352614,0.8875139043381535,0.803489762893126,0.7370580808080809,6.992834363818207,2.8684597730363355
wikivote,sgc,1,0.0158463583624779,0.0023539703499864,0.0055106355500356,0.0002720630497606,0.5,0.6264044943820225,0.6456109826873893,0.7546693635648238,0.4552831551077949,0.5799995860433531,6.731757841626787,20.254994402527817
wikivote,gcn,1,0.0159624654374511,0.0028142179125552,0.0053189372499218,0.0003502846999253,0.7162921348314607,0.8277153558052435,0.5390056315168208,0.5755981949636042,0.5626588821991121,0.6412207608211435,5.67207868524929,15.18461197721765
stackoverflow_ml,sage,2,0.0200524636874206,0.0048844254123878,0.0018884366500969,0.0005649197496495,0.782312925170068,0.8095238095238095,0.8794493882091213,0.8880700778642937,0.7405119152691968,0.769901610017889,4.105388452972149,3.3428405561472503
stackoverflow_ml,sage,3,0.0166248677500334,0.0050421637375393,0.0022095609502684,0.0008082599500994,0.8027210884353742,0.7891156462585034,0.8788932146829812,0.9192157953281423,0.7600337742752603,0.753315649867374,3.2971693533591484,2.7337256411092348
stackoverflow_ml,sage,4,0.0200851696624567,0.006148427425046,0.0033779993002099,0.0010025078496255,0.8163265306122449,0.8095238095238095,0.9080923248053392,0.885567296996663,0.7796101949025487,0.7729479258605472,3.26671655595031,3.36954897806715
stackoverflow_ml,gcn,2,0.0080717087000266,0.0033566228125209,0.0010391847999017,0.0004864681503022,0.7619047619047619,0.7414965986394558,0.7882369299221357,0.7473581757508343,0.6750457904376934,0.6568796068796069,2.4047112680988314,2.136182603642491
stackoverflow_ml,gcn,1,0.0047042552251241,0.00227980857494,0.0004604025501976,0.0002810707000207,0.5578231292517006,0.7142857142857143,0.7473581757508342,0.76793659621802,0.5296115787919067,0.6448458352508053,2.0634430788768774,1.6380311080581957
stackoverflow_ml,sgc,4,0.0048931598375929,0.0025310979750656,0.0010297053997419,0.000553516599939,0.7891156462585034,0.8027210884353742,0.7420745272525028,0.7626529477196886,0.66266933155674,0.6925351604760188,1.933216290241029,1.860297233823481
stackoverflow_ml,gcn,4,0.0097195941249765,0.0052323933499337,0.0019025149000299,0.0008592439498897,0.7755102040816326,0.7619047619047619,0.7623748609566184,0.7440211345939933,0.6666666666666666,0.6617134591360379,1.8575809337995692,2.214173169650043
stackoverflow_ml,gcn,3,0.007681195799978,0.0042071128999623,0.0008078966000539,0.0006547296002281,0.7755102040816326,0.782312925170068,0.7634872080088988,0.7576473859844272,0.6741014444071213,0.6729699666295884,1.8257641243825027,1.233939323611516
stackoverflow_ml,sgc,3,0.0044783890001099,0.0024655816750055,0.0007455324001966,0.0004856795500927,0.782312925170068,0.7482993197278912,0.7009176863181312,0.6630978865406006,0.6874003189792663,0.634598589183742,1.8163620558625015,1.5350294243484264
stackoverflow_ml,sgc,2,0.0044330179623329,0.002492868475042,0.000530683999932,0.0003836024998236,0.6666666666666666,0.7278911564625851,0.753754171301446,0.6761679644048944,0.6100795755968169,0.625,1.7782799239972786,1.3834216413501883
stackoverflow_ml,sgc,1,0.0041227313126,0.0023545427000726,0.0003682832001686,0.0002966616998492,0.5850340136054422,0.5714285714285714,0.7465239154616241,0.7684927697441601,0.5643915472431382,0.5616094674556213,1.7509690151182562,1.241424829547619
